"","Gene","G1_median","G2M_median","S_median","G1_mean","G2M_mean","S_mean","kw_pval","kw_adj","G1-G2M Dunns FDR","G1-S Dunns FDR","G2M-S Dunns FDR"
"12","spn-A",0,0.355244181557333,0.361437090394537,0.317576870275381,0.386699773253348,0.361088269830583,5.72466748745994e-06,8.63721761265886e-06,0.00188398992974993,3.1356568287499e-06,0.0914657228599698
"13","l(2)dtl",0,0,0,0.0658607180103721,0.197239301834152,0.063840057419763,1.41696174679906e-59,3.69268818862786e-59,0.65527785248441,4.34087063420018e-40,5.74105737010434e-48
"14","DNApol-alpha180",0,0,0,0.0580154512845949,0.202713929222347,0.0736796326496609,1.81285249876055e-65,5.19684382978026e-65,0.0256193105130581,1.00047037006622e-52,7.61576281267608e-44
"15","CG11788",0,0,0,0.117945722105633,0.337704219754831,0.142486761622432,6.20512344277371e-91,2.6682030803927e-90,0.0250071667778386,1.75195233840343e-71,3.99583880104877e-62
"16","Ts",0,1.43760801803862,0,0.35117127848462,1.37631734182643,0.373908101547443,0,0,0.266942641760721,0,0
"17","Psf2",0,0.363891163285498,0.390304963115662,0.31329359877235,0.388862216323957,0.387008155252714,3.73979651582722e-08,5.95597222891002e-08,4.75607409462399e-07,4.74625471207372e-07,0.986272737123643
"18","RnrS",0.443937402498709,1.67900187489032,0.539002671900266,0.471295093209957,1.61079352927763,0.579819371034311,0,0,1.22167774115333e-05,0,0
"19","spel1",0,0,0,0.142740853923061,0.250321490485136,0.17857504691133,5.77964835598255e-17,9.94099517228998e-17,0.000248507221733766,4.51498106419501e-17,5.36824642261065e-07
"20","FLASH",0,0,0,0.0713110494414429,0.0961368607119734,0.0751685918321074,0.0297405207794811,0.0323757567979162,0.644281532295138,0.0478083916360751,0.0586029318908297
"21","CycA",0.686805150996501,0.959642032619565,0.79215096504536,0.683632202415553,0.933052644018457,0.792715106966608,2.45572052796995e-40,5.41517860013887e-40,1.62454022585864e-08,6.62984090708284e-40,1.63880890894364e-15
"22","CycD",0,0,0.305400464531534,0.315795574615509,0.325290944226615,0.329272791283767,0.320773295155328,0.33236751064287,0.553307638014553,0.868359857554203,0.307304535721293
"23","CycE",0,0.58994514423097,0,0.138000862344267,0.559975290709262,0.159568985746837,1.30252776494543e-219,8.00124198466479e-219,0.136671232735348,1.29150179110944e-159,1.05508539914732e-160
"24","Caf1-105",0,0,0,0.0849514953315837,0.253635729984078,0.098751662495752,2.08950703791022e-71,7.18790421041116e-71,0.133565119911193,1.11726091607033e-54,8.2028664211025e-51
"25","tos",0,0,0,0.0218938298886301,0.075914442275387,0.0314334146005303,2.31758176717465e-21,4.33287026037e-21,0.0397047814361429,6.29675629489043e-19,2.95040696157762e-13
"26","Cdc6",0,0,0,0.141818649175306,0.314849317374207,0.172453013327039,1.36552858411223e-45,3.26209606204588e-45,0.00727284652782726,5.64712065462741e-39,2.64323659934262e-28
