"","Gene","G1_median","G2M_median","S_median","G1_mean","G2M_mean","S_mean","kw_pval","kw_adj","G1-G2M Dunns FDR","G1-S Dunns FDR","G2M-S Dunns FDR"
"16","Ts",4.68386602715513,4.98151202796316,4.71864257299854,3.43008556636671,4.26462258824546,3.4919685430373,1.09504376704901e-08,4.48446495077214e-08,0.71832602366338,1.96088266710296e-05,4.3770795466989e-08
"17","Psf2",3.87884653091885,4.58268194313281,4.10406148976769,2.51963858796908,3.39645357568254,2.64637100777682,1.48137257746212e-08,5.79082007553374e-08,0.415064321064967,6.59643513835069e-07,1.016324530788e-06
"18","RnrS",6.40619514927587,6.72933162128602,6.62461023705275,6.17417354816928,6.63915267342484,6.46049018822789,1.46282261062365e-10,1.57253430642042e-09,7.07884710503947e-05,5.50960050346032e-11,0.00120896933980448
"19","spel1",0,4.35069433609143,4.08217707395843,2.12480146778607,3.07072306154126,2.63834397873714,6.52567737364911e-07,1.60345215466807e-06,0.00632057144985934,4.32655305939137e-07,0.0031600963539072
"20","FLASH",0,4.2815039606281,0,1.73195543301915,2.93796155545799,2.25387833399286,1.97606294944961e-10,1.88823792947407e-09,0.00818872548340553,5.15024970037843e-10,8.87726003037087e-06
"21","CycA",6.1797279855821,6.42262121143242,6.37502430535081,5.96368636808378,6.32128626644271,6.19912485773364,9.55201644612872e-09,4.10736707183535e-08,9.75573643895212e-06,5.00718152785287e-09,0.0597181497282649
"22","CycD",0,0,0,1.28988071754474,1.86164690343991,1.44582187847551,0.000522385126173301,0.000863944631748151,0.338711928777674,0.00147346619910579,0.00341941902124847
"23","CycE",5.87680533305123,6.16963910921473,6.17882304321308,5.40187181246553,6.00561286533018,5.96363112456478,1.85542657960785e-09,9.9729178653922e-09,1.97004051519672e-08,1.63645716601527e-08,0.97848084397911
"24","Caf1-105",5.03853682409732,5.51906324367738,5.42220086750549,4.2542605342488,5.21995568374461,4.79195181686643,9.03152199549459e-09,4.08795206111861e-08,1.52041681963276e-05,4.24808615885171e-09,0.042588447582366
"25","tos",0,0,0,1.03527608479699,1.80526282818147,1.4338526648814,1.31730787527444e-05,2.69734469699052e-05,0.0135082862584451,8.58075274688699e-06,0.0107653211963834
"26","Cdc6",5.15919732578213,5.37107097753888,5.3235820228478,4.17604302181473,4.89589174979135,4.60202647625063,0.000473965888545036,0.000799236596370061,0.0239749947033002,0.000278234607162992,0.0667436497808346
"27","Fen1",0,4.14489996834042,0,1.57236066458014,2.79289562757709,2.10098666631099,1.09643083910937e-10,1.34704360233437e-09,0.00280563417663506,1.60221390403183e-10,2.21370336603033e-05
"28","Mcm5",4.66405412668551,4.96518492900002,4.80735311232809,3.3345355005611,4.15073525057892,3.68059744204329,1.83580751651562e-07,5.09288536839817e-07,0.0108089054710167,1.78588071327018e-07,0.000741946631880138
"29","Blm",0,0,0,1.10614312513464,2.03678013698708,1.58821655256939,2.55279695771936e-07,6.86064182387077e-07,0.00563527364363741,1.78795222812291e-07,0.00190572530662992
"30","CG10336",4.38166314568471,4.82112379669506,4.48493988089641,2.95487426117349,3.8709055953279,3.18860898110817,5.30951634002266e-07,1.38218977686671e-06,0.324868729637734,9.66560506583772e-06,1.44843410496805e-05
"31","Mcm2",4.75531161086636,4.98151202796316,4.82407505642294,3.48274826953004,4.38802336421385,3.86514442232072,1.08360480472751e-06,2.51864900558285e-06,0.00846962192136141,7.5933672528805e-07,0.00325766511996945
"32","RnrL",0,0,0,1.04130043186474,2.08572222712492,1.5409349245863,7.34081157190347e-10,4.46222438267755e-09,0.00192258049153177,6.67984296707096e-10,0.000123608410057805
"33","Slbp",6.54306463724909,6.720259201732,6.62370655767198,6.35293281243537,6.64814194959787,6.5092443515922,3.19877135629242e-06,6.87735841602871e-06,0.0172326213285833,2.65818699317731e-06,0.00315048383616972
"34","ct",0,0,0,0.0881418621954678,0.137681274475882,0.270059866318047,0.0220226399107906,0.0286961671564847,0.0331073517552714,0.40699989396604,0.0644098414814498
"35","jumu",4.76441451026124,5.06289010039699,5.27827935809829,3.50517972925077,4.22062627572258,4.77644215173952,3.85512723993275e-15,1.37205238759766e-13,1.62087510196211e-15,5.91659990659112e-06,4.41200431687119e-05
"36","msps",0,0,4.03306504359445,1.77845707056743,1.75755069122545,2.62306605257245,7.78294950467014e-10,4.46222438267755e-09,2.66587641623688e-06,0.826871250500435,8.52292699856058e-09
"37","BubR1",0,4.30535887054411,4.63623897006326,2.316980182142,2.88270183395903,3.47500226861122,5.79503637283766e-10,3.83363944664645e-09,5.0540825989804e-10,0.00163089173864815,0.000211622735932433
"38","pav",4.74790398881984,4.7730096495886,5.01045478088632,3.48651740700393,3.70013573178878,4.23774799232372,5.07115243438991e-06,1.06370514477447e-05,4.36739606478125e-05,0.307277305014413,0.000129725370162244
"39","nod",0,0,0,0.521466785834569,0.458013534063219,0.846185972920671,0.000179977799431407,0.000315879403083694,0.00845910056176913,0.579852552479492,0.000229590126509467
"40","fzy",6.02637242766935,6.0616421166594,6.06669647029511,5.6913188510416,5.79434795471761,5.90011039968334,0.132897739059344,0.153270693071969,0.139967026754302,0.198079480888312,0.579073367229249
"41","betaTub56D",8.94526098094999,9.0109483816605,8.95877496293006,8.89219763484356,8.97679145227459,8.92506670232692,0.000710682638407035,0.00111124921641827,0.121532554554752,0.000786475706057913,0.0163593170161057
"42","cana",0,0,0,0.229871629892589,0.525683148497705,0.853213614548442,1.52246129462577e-07,4.51488521854539e-07,1.46413418637271e-07,0.0100236906730527,0.00104895864733638
"43","Klp10A",0,0,3.97409221286559,1.60523855799327,1.89389422526956,2.57238739513325,2.16072104273539e-08,7.19177194335192e-08,4.98612726593848e-07,0.206156045649026,3.88150871189563e-06
"44","pie",0,0,0,1.28897767978063,1.49009786041671,2.12492850204007,2.17425663403663e-08,7.19177194335192e-08,9.83464964900308e-07,0.311187684382525,1.82957709388058e-06
"45","pbl",5.65994519670482,5.69203821889381,5.93405206674684,5.03837300231715,5.21518109648717,5.7654639143791,1.02731018127607e-10,1.34704360233437e-09,3.88278451985384e-08,0.499945428682359,1.91901698973694e-08
"46","Cks85A",0,0,4.06212528112138,1.72723003539814,2.0098668497025,2.62290675201187,1.83220188433495e-07,5.09288536839817e-07,1.53260331963693e-06,0.151740330994394,3.25749783346435e-05
"47","Cap-D2",0,0,4.313015840463,1.78146757399838,2.17583194120269,3.06579372634914,4.78622925906162e-15,1.37205238759766e-13,8.00062462285879e-13,0.0390578646452564,8.01904151618942e-10
"48","aurA",0,0,0,0.814976056667348,1.0266094819377,1.61748969691029,1.97378716637509e-08,7.19177194335192e-08,4.05998085805801e-07,0.18742078039186,4.27953782745069e-06
"49","scra",4.58905568869586,4.81912500140659,4.89477670498573,3.33194222247857,3.59753193967632,4.08126519752325,1.6963376084521e-05,3.3926752169042e-05,1.46518128031671e-05,0.0294184442843217,0.00733459035756881
